"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","2","eadc73a3-fea2-4f35-ab81-a2128f6b144b","https://wellcomelibrary.github.io/dlcsdemo/b19612503_0_0_9/assets/eadc73a3-fea2-4f35-ab81-a2128f6b144b.jp2","","b19612503","","","","","-1","0","0","0"
"Image","1","2","3eaa84a7-0fbb-4b97-bfa6-6a6a370b5ec9","https://wellcomelibrary.github.io/dlcsdemo/b19612503_0_0_9/assets/3eaa84a7-0fbb-4b97-bfa6-6a6a370b5ec9.jp2","","b19612503","","","","","-1","0","1","0"
"Image","2","2","27b49c3f-0e6f-42f9-a6fa-70ea720fc72d","https://wellcomelibrary.github.io/dlcsdemo/b19612503_0_0_9/assets/27b49c3f-0e6f-42f9-a6fa-70ea720fc72d.jp2","","b19612503","","","","","-1","0","2","0"
"Image","3","2","24b655be-e941-4652-ae07-a4f0b5424827","https://wellcomelibrary.github.io/dlcsdemo/b19612503_0_0_9/assets/24b655be-e941-4652-ae07-a4f0b5424827.jp2","","b19612503","","","","","-1","0","3","0"
"Image","4","2","a9b70c6d-e15c-435b-98da-81a4605e3c6f","https://wellcomelibrary.github.io/dlcsdemo/b19612503_0_0_9/assets/a9b70c6d-e15c-435b-98da-81a4605e3c6f.jp2","","b19612503","","","","","-1","0","4","0"
"Image","5","2","1714afaa-d4ec-49bb-afc4-0bd288189ae9","https://wellcomelibrary.github.io/dlcsdemo/b19612503_0_0_9/assets/1714afaa-d4ec-49bb-afc4-0bd288189ae9.jp2","","b19612503","","","","","-1","0","5","0"
"Image","6","2","8878cf6b-a41f-48cd-8c01-d8a047b35d39","https://wellcomelibrary.github.io/dlcsdemo/b19612503_0_0_9/assets/8878cf6b-a41f-48cd-8c01-d8a047b35d39.jp2","","b19612503","","","","","-1","0","6","0"
"Image","7","2","d473215a-1c5c-43e9-971a-cd66c2ace2f1","https://wellcomelibrary.github.io/dlcsdemo/b19612503_0_0_9/assets/d473215a-1c5c-43e9-971a-cd66c2ace2f1.jp2","","b19612503","","","","","-1","0","7","0"
"Image","8","2","edde0fcb-383b-4e39-afc6-1ab3b596cf8f","https://wellcomelibrary.github.io/dlcsdemo/b19612503_0_0_9/assets/edde0fcb-383b-4e39-afc6-1ab3b596cf8f.jp2","","b19612503","","","","","-1","0","8","0"
"Image","9","2","168fbbf5-8cf1-4747-8e35-0aa9b6f5217d","https://wellcomelibrary.github.io/dlcsdemo/b19612503_0_0_9/assets/168fbbf5-8cf1-4747-8e35-0aa9b6f5217d.jp2","","b19612503","","","","","-1","0","9","0"
