"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","2","74066a4a-e95d-4024-ab8c-05bb8e0d0845","https://wellcomelibrary.github.io/dlcs-demo/b22001645_0/74066a4a-e95d-4024-ab8c-05bb8e0d0845.jp2","","b22001645","","","","","-1","0","0","0"
"Image","1","2","c5101b00-d270-49d5-8152-13f2ed81017c","https://wellcomelibrary.github.io/dlcs-demo/b22001645_0/c5101b00-d270-49d5-8152-13f2ed81017c.jp2","","b22001645","","","","","-1","0","1","0"
"Image","2","2","78ce66fc-8bb4-4c29-b4ae-2cc22c4f7158","https://wellcomelibrary.github.io/dlcs-demo/b22001645_0/78ce66fc-8bb4-4c29-b4ae-2cc22c4f7158.jp2","","b22001645","","","","","-1","0","2","0"
"Image","3","2","50cfc17a-fa3a-4c7a-8ff1-ece11fa05c39","https://wellcomelibrary.github.io/dlcs-demo/b22001645_0/50cfc17a-fa3a-4c7a-8ff1-ece11fa05c39.jp2","","b22001645","","","","","-1","0","3","0"
"Image","4","2","3aba132f-cff6-4b44-b397-4d29cffc7a98","https://wellcomelibrary.github.io/dlcs-demo/b22001645_0/3aba132f-cff6-4b44-b397-4d29cffc7a98.jp2","","b22001645","","","","","-1","0","4","0"
"Image","5","2","63667f14-0c41-480a-8856-79a2e5ad497f","https://wellcomelibrary.github.io/dlcs-demo/b22001645_0/63667f14-0c41-480a-8856-79a2e5ad497f.jp2","","b22001645","","","","","-1","0","5","0"
"Image","6","2","2be44905-ad82-4c8b-964b-da0bdd266349","https://wellcomelibrary.github.io/dlcs-demo/b22001645_0/2be44905-ad82-4c8b-964b-da0bdd266349.jp2","","b22001645","","","","","-1","0","6","0"
"Image","7","2","c7de4ccc-ef11-464e-9d5d-46fbb39b64a9","https://wellcomelibrary.github.io/dlcs-demo/b22001645_0/c7de4ccc-ef11-464e-9d5d-46fbb39b64a9.jp2","","b22001645","","","","","-1","0","7","0"
"Image","8","2","79d616ab-5b9a-4f84-bd2c-e6a63aefc7b7","https://wellcomelibrary.github.io/dlcs-demo/b22001645_0/79d616ab-5b9a-4f84-bd2c-e6a63aefc7b7.jp2","","b22001645","","","","","-1","0","8","0"
"Image","9","2","4a5b7d9d-bc96-4dc8-a261-8f3b9c7e8f73","https://wellcomelibrary.github.io/dlcs-demo/b22001645_0/4a5b7d9d-bc96-4dc8-a261-8f3b9c7e8f73.jp2","","b22001645","","","","","-1","0","9","0"
"Image","10","2","6d5b5477-1090-4a40-8dbf-b391f5b6848c","https://wellcomelibrary.github.io/dlcs-demo/b22001645_0/6d5b5477-1090-4a40-8dbf-b391f5b6848c.jp2","","b22001645","","","","","-1","0","10","0"
"Image","11","2","f243b02d-3a4a-49a7-9132-427b1a7a454b","https://wellcomelibrary.github.io/dlcs-demo/b22001645_0/f243b02d-3a4a-49a7-9132-427b1a7a454b.jp2","","b22001645","","","","","-1","0","11","0"
